,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TNFSF12-TNFSF13,TNFSF12-TNFSF13,-0.098339616333333,6.73954025683333,-1.11565944043637,0.283511550484496,0.436213260394573,-6.89118341670513
COL8A2,COL8A2,0.0114144133333314,7.06493926666667,0.1158279307351,0.909448011363085,0.945075267007327,-7.52107256619086
PRRX2,PRRX2,0.0848984099999992,6.697964566,1.05363306148917,0.310047996595869,0.464837629039881,-6.95746351078527
AKT1S1,AKT1S1,0.0829853693333336,7.10409947633333,0.999811995927416,0.334513793638245,0.490955353777807,-7.01235217039167
CDNF,CDNF,-0.165183676666667,6.77912441333333,-2.0100346825906,0.0642772301303053,0.139130633116168,-5.63358963001167
FLJ10213,FLJ10213,0.179853069000001,7.4312879795,2.31276013305716,0.0366021579062805,0.0874490399792009,-5.1111934729076
RHBDD1,RHBDD1,0.123846731666668,7.3887988605,1.38078063235614,0.189176180543802,0.324705008596818,-6.57353515944127
JPH2,JPH2,0.108018161666669,7.64191392783333,1.15699866643741,0.26679756515306,0.417854223635348,-6.84525404498643
SLC9A6,SLC9A6,0.127810471666669,7.3556856105,1.58307875973715,0.135916475024328,0.252774840740571,-6.29710373401632
FOXD1,FOXD1,-0.178982916666666,7.434914124,-2.4209453033133,0.0297878615770241,0.0735459728026149,-4.91641583775158
GCNT4,GCNT4,-0.0388126263333328,6.6660061245,-0.383801768772199,0.706940430203525,0.80889997569751,-7.44992157469512
NDEL1,NDEL1,-0.125073124666667,9.22714922733333,-1.43020939856588,0.174781371693897,0.306170990347645,-6.50855020097315
HOXD3,HOXD3,0.171580090666667,6.947069128,2.01280301664687,0.0639537559449246,0.138500222012761,-5.6289843707323
NES,NES,0.201930184333335,6.74806071716667,2.57776097005022,0.0220217025045952,0.0569173594004093,-4.62789199181085
ADAMTS9,ADAMTS9,-0.0943327236666649,6.7609779255,-1.11352485385513,0.284395557500838,0.437057060783607,-6.8935172610147
PPWD1,PPWD1,0.0157494879999991,7.796754498,0.158261019878209,0.876530585915086,0.925034669625051,-7.5148646701061
NAP1L6,NAP1L6,0.0538661686666657,7.12287184566667,0.536944905279023,0.599807775915644,0.730706309425484,-7.37572033483163
SNORA73B,SNORA73B,0.0355725496666688,6.80028130283333,0.44087194366344,0.666094878495853,0.782156405279947,-7.42507221751805
JMJD6,JMJD6,0.184576253000002,7.1736570155,2.17153058531944,0.0477273744597577,0.108845093142614,-5.35939950443777
GPX1,GPX1,0.18497890766667,6.89821402983333,2.11773663050651,0.0527415980453992,0.118107466041564,-5.45194361223917
CLDN7,CLDN7,0.151387229999999,10.184956815,1.88507446692396,0.0805295218255528,0.167072191080629,-5.83772458500834
PABPC1L,PABPC1L,0.0336837123333336,9.18207045016667,0.426857036508115,0.676030290292379,0.788869005240419,-7.43148515682333
APC,APC,-0.259811356666667,6.773447238,-3.11945966696138,0.00760187964729674,0.0232953250327905,-3.59039621773896
GARNL3,GARNL3,-0.106995429333334,6.84296272466667,-1.33196981599751,0.204329286026937,0.344071728769498,-6.63600115906569
MAFK,MAFK,0.185277352666666,6.744038069,2.2173298079819,0.0438123585719483,0.101332781971575,-5.27971428549208
KCNIP4,KCNIP4,0.0851660330000019,6.57414604783333,1.04419094549757,0.314242853961825,0.469108253042594,-6.96727111158469
EIF2C4,EIF2C4,-0.127512237999999,6.658360882,-1.6078841522908,0.130362625361526,0.244349369898341,-6.26137157584882
CRY1,CRY1,0.154290601666667,7.6883136205,1.9963120519585,0.0659029223015067,0.142005762044296,-5.65636649095842
PIGO,PIGO,0.0201891583333333,6.91317267016667,0.214234351150156,0.833479662199697,0.895496415315784,-7.50374884337814
ZNF33A,ZNF33A,-0.0536863239999992,7.67949308533333,-0.678601056587329,0.508547788379479,0.655357665712539,-7.28610743601258
CLEC16A,CLEC16A,-0.248436109333332,8.524091772,-3.25307842000125,0.00583389949128798,0.0186164931291299,-3.32810135526429
TMEM198,TMEM198,0.122557205666668,7.15575976783333,1.34637453077378,0.199758410454514,0.338388379298067,-6.61774587077811
LRRC8D,LRRC8D,0.0973977393333332,7.243284912,1.18243517566349,0.256893551585854,0.40676389917033,-6.81630969216142
SIM2,SIM2,0.0603183553333357,6.905179963,0.806202572632953,0.433722476281873,0.587903497447787,-7.18874334627979
PHF6,PHF6,-0.0118119463333333,7.08577140483333,-0.1550732799073,0.878996048462791,0.926802736303451,-7.51539760299721
FTHL7,FTHL7,0.079156236666666,13.8602631283333,0.915543982293717,0.375538595075049,0.532026765682146,-7.09325163399123
EPM2A,EPM2A,-0.0366741386666689,7.05315109,-0.423288562335009,0.678570185501239,0.790734445905468,-7.43308579775952
BPTF,BPTF,-0.174530697333333,6.97056694466667,-2.09206836951667,0.0553026529381722,0.122797416754894,-5.49568580339178
TET3,TET3,0.186962589333334,6.82170485566667,2.16096514903311,0.0486757425189142,0.110753207298595,-5.37766688179401
